,userId,neighborId,movieId,title,User Rating,Neighbor Rating
0,316,125012,356,Forrest Gump (1994),4.5,5.0
1,316,125012,2571,"Matrix, The (1999)",4.0,4.5
2,316,125012,3147,"Green Mile, The (1999)",4.0,5.0
3,316,125012,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.0,5.0
4,316,125012,5952,"Lord of the Rings: The Two Towers, The (2002)",4.0,5.0
5,316,125012,7153,"Lord of the Rings: The Return of the King, The (2003)",4.0,5.0
6,320,51460,2571,"Matrix, The (1999)",4.5,4.5
7,320,51460,2858,American Beauty (1999),4.5,5.0
8,320,51460,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.0,5.0
9,320,51460,5952,"Lord of the Rings: The Two Towers, The (2002)",4.5,5.0
10,359,107991,47,Seven (a.k.a. Se7en) (1995),4.0,4.0
11,359,107991,150,Apollo 13 (1995),4.0,4.5
12,359,107991,208,Waterworld (1995),4.0,4.0
13,359,107991,260,Star Wars: Episode IV - A New Hope (1977),5.0,4.0
14,359,107991,296,Pulp Fiction (1994),5.0,4.0
15,359,107991,318,"Shawshank Redemption, The (1994)",5.0,4.0
16,359,107991,356,Forrest Gump (1994),4.5,4.0
17,359,107991,457,"Fugitive, The (1993)",4.0,4.0
18,359,107991,527,Schindler's List (1993),5.0,4.0
19,359,107991,541,Blade Runner (1982),5.0,4.0
20,359,107991,589,Terminator 2: Judgment Day (1991),5.0,4.5
21,359,107991,593,"Silence of the Lambs, The (1991)",5.0,4.5
22,359,107991,733,"Rock, The (1996)",4.0,4.0
23,359,107991,858,"Godfather, The (1972)",4.5,4.0
24,359,107991,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.0,4.0
25,359,107991,1200,Aliens (1986),5.0,4.5
26,359,107991,1210,Star Wars: Episode VI - Return of the Jedi (1983),5.0,4.0
27,359,107991,1214,Alien (1979),4.5,4.0
28,359,107991,1291,Indiana Jones and the Last Crusade (1989),4.5,4.0
29,359,107991,1387,Jaws (1975),4.5,4.0
30,359,107991,1610,"Hunt for Red October, The (1990)",5.0,4.0
31,359,107991,2028,Saving Private Ryan (1998),5.0,5.0
32,359,107991,2329,American History X (1998),5.0,4.5
33,359,107991,2762,"Sixth Sense, The (1999)",5.0,4.5
34,359,107991,2858,American Beauty (1999),4.0,4.0
35,359,107991,3006,"Insider, The (1999)",4.0,4.0
36,359,107991,3147,"Green Mile, The (1999)",4.0,4.0
37,359,107991,3275,"Boondock Saints, The (2000)",4.0,4.0
38,359,107991,3578,Gladiator (2000),4.0,5.0
39,359,107991,4011,Snatch (2000),4.0,4.5
40,359,107991,4226,Memento (2000),5.0,5.0
41,359,107991,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",5.0,5.0
42,359,107991,4995,"Beautiful Mind, A (2001)",4.5,4.0
43,359,107991,5010,Black Hawk Down (2001),4.5,5.0
44,359,107991,5952,"Lord of the Rings: The Two Towers, The (2002)",4.0,5.0
45,359,107991,7153,"Lord of the Rings: The Return of the King, The (2003)",5.0,5.0
46,359,107991,33794,Batman Begins (2005),4.5,4.0
47,359,107991,51662,300 (2007),4.0,4.0
48,359,107991,55118,Eastern Promises (2007),4.0,4.0
49,359,107991,55276,Michael Clayton (2007),4.0,4.0
50,359,107991,58559,"Dark Knight, The (2008)",4.0,4.0
51,370,123707,1,Toy Story (1995),4.5,4.0
52,370,123707,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),5.0,4.0
53,370,123707,47,Seven (a.k.a. Se7en) (1995),5.0,4.0
54,370,123707,296,Pulp Fiction (1994),5.0,4.5
55,370,123707,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),5.0,4.0
56,370,123707,318,"Shawshank Redemption, The (1994)",5.0,4.5
57,370,123707,337,What's Eating Gilbert Grape (1993),5.0,4.5
58,370,123707,356,Forrest Gump (1994),5.0,4.0
59,370,123707,457,"Fugitive, The (1993)",4.0,4.0
60,370,123707,481,Kalifornia (1993),4.5,4.0
61,370,123707,527,Schindler's List (1993),5.0,5.0
62,370,123707,555,True Romance (1993),5.0,4.0
63,370,123707,589,Terminator 2: Judgment Day (1991),5.0,4.5
64,370,123707,593,"Silence of the Lambs, The (1991)",4.5,4.0
65,370,123707,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.5,4.0
66,370,123707,858,"Godfather, The (1972)",5.0,4.5
67,370,123707,912,Casablanca (1942),4.5,4.0
68,370,123707,1193,One Flew Over the Cuckoo's Nest (1975),5.0,4.0
69,370,123707,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0,4.0
70,370,123707,1200,Aliens (1986),5.0,4.0
71,370,123707,1214,Alien (1979),5.0,4.0
72,370,123707,1219,Psycho (1960),4.5,4.0
73,370,123707,1246,Dead Poets Society (1989),5.0,4.5
74,370,123707,1466,Donnie Brasco (1997),5.0,4.0
75,370,123707,1527,"Fifth Element, The (1997)",5.0,4.0
76,370,123707,1961,Rain Man (1988),5.0,4.0
77,370,123707,2115,Indiana Jones and the Temple of Doom (1984),4.0,4.0
78,370,123707,2324,Life Is Beautiful (La Vita è bella) (1997),5.0,4.5
79,370,123707,2329,American History X (1998),4.5,4.0
80,370,123707,2571,"Matrix, The (1999)",5.0,4.5
81,370,123707,2959,Fight Club (1999),5.0,4.5
82,370,123707,3307,City Lights (1931),5.0,4.5
83,370,123707,3418,Thelma & Louise (1991),4.5,5.0
84,370,123707,4226,Memento (2000),5.0,4.0
85,370,123707,4848,Mulholland Drive (2001),4.5,4.0
86,370,123707,4963,Ocean's Eleven (2001),5.0,4.0
87,370,123707,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",5.0,4.5
88,370,123707,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",5.0,4.0
89,370,123707,5218,Ice Age (2002),5.0,4.0
90,370,123707,5445,Minority Report (2002),4.0,4.0
91,370,123707,5608,"Das Experiment (Experiment, The) (2001)",4.5,4.5
92,370,123707,5902,Adaptation (2002),5.0,4.0
93,370,123707,5989,Catch Me If You Can (2002),4.0,4.5
94,370,123707,6016,City of God (Cidade de Deus) (2002),5.0,4.0
95,370,123707,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),5.0,4.5
96,370,123707,7323,"Good bye, Lenin! (2003)",4.0,4.0
97,370,123707,7371,Dogville (2003),4.5,4.5
98,370,123707,8957,Saw (2004),5.0,4.0
99,370,123707,8970,Finding Neverland (2004),4.0,4.0
100,370,123707,44555,"Lives of Others, The (Das leben der Anderen) (2006)",5.0,4.5
101,370,123707,49272,Casino Royale (2006),5.0,4.5
102,370,123707,50872,Ratatouille (2007),4.0,5.0
103,370,123707,53322,Ocean's Thirteen (2007),4.0,4.0
